TESTNUM,POINTNUM,TIME,POSIT,FORCE,EXT,CH5
,,,,,,
533,1,6.531,0.055360001,321.9482242,0.00479875,-0.00873199
533,2,8.574,0.063239999,664.8792556,0.00966603,-0.01941349
533,3,9.07,0.065200001,1014.583387,0.0150132,-0.02579906
533,4,12.874,0.081019998,1340.063328,0.02015475,-0.028507359
533,5,15.878,0.093780003,1666.182997,0.02609605,-0.01221078
533,6,19.673,0.109619997,2026.520978,0.03228868,-0.00615208
533,7,21.271,0.116180003,2352.949942,0.03756733,-0.00126075
533,8,22.576,0.121579997,2697.77529,0.04355433,0.00666573
533,9,23.573,0.125819996,3009.661784,0.0493129,0.00483296
533,10,24.67,0.13008,3327.999646,0.05541408,0.016763549
533,11,25.571,0.133900002,3661.505098,0.06183528,0.00922228
533,12,26.371,0.137339994,3978.216596,0.06702255,0.020569211
533,13,27.075,0.140039995,4322.038524,0.0735351,0.023207489
533,14,27.676,0.142739996,4653.264206,0.07885938,0.03206788
533,15,28.381,0.145400003,5004.498028,0.08377237,0.03122736
533,16,28.875,0.147719994,5377.030014,0.09087913,0.02895098
533,17,29.477,0.149979994,5761.820038,0.0969804,0.034274232
533,18,29.974,0.151899993,6207.609926,0.10486405,0.03321192
533,19,30.372,0.153799996,6522.012434,0.10968568,0.034390971
533,20,30.875,0.155660003,6850.288776,0.11542132,0.034297582
533,21,31.37,0.157559991,7178.55828,0.12049426,0.02828557
533,22,31.772,0.159439996,7491.328206,0.12604708,0.033165209
533,23,32.272,0.161359996,7835.400056,0.13153135,0.026394431
533,24,32.773,0.163259998,8177.850514,0.13669573,0.036492251
533,25,33.171,0.165199995,8520.294756,0.14238573,0.0354883
533,26,33.675,0.167119995,8870.154622,0.14764145,0.034998011
533,27,34.174,0.169440001,9223.558174,0.15301148,0.03170599
533,28,34.57,0.170959994,9676.99931,0.15936409,0.035546672
533,29,34.973,0.172519997,10037.8073,0.16521403,0.039165542
533,30,35.372,0.174060002,10395.37996,0.17076685,0.027596829
533,31,35.675,0.175599992,10866.53828,0.17785068,0.03392401
533,32,36.073,0.177139997,11235.70936,0.18434039,0.031962831
533,33,36.473,0.1787,11604.87298,0.1898476,0.035149772
533,34,36.774,0.180219993,11992.74476,0.19574315,0.038546842
533,35,37.17,0.181779996,12387.70392,0.20168453,0.031472512
533,36,37.574,0.183299989,12763.61919,0.20755726,0.02743339
533,37,37.971,0.185259998,13145.33243,0.21352136,0.04380003
533,38,38.37,0.186779991,13548.97672,0.21914282,0.03585019
533,39,38.771,0.188319996,13953.25514,0.22535828,0.03635215
533,40,39.173,0.190259993,14353.00884,0.23125393,0.041185111
533,41,39.577,0.191780001,14847.28317,0.23858913,0.037542891
533,42,39.972,0.193360001,15256.69185,0.24505603,0.045364331
533,43,40.374,0.194879994,15567.05021,0.24910067,0.044150248
533,44,40.675,0.196439996,15966.44208,0.25568188,0.048644651
533,45,41.076,0.197959989,16477.11931,0.26349698,0.062536448
533,46,41.474,0.199499995,16792.93743,0.26831853,0.056034159
533,47,41.775,0.201079994,17210.68558,0.27432836,0.063061759
533,48,42.17,0.202600002,17525.84469,0.27921853,0.07484062
533,49,42.573,0.204139993,17844.22297,0.28404017,0.077035293
533,50,42.973,0.20607999,18172.91771,0.28893029,0.078377768
533,51,43.372,0.207619995,18508.38028,0.29375191,0.08764676
533,52,43.673,0.208759993,18826.41661,0.29898482,0.08371269
533,53,44.071,0.210339993,19159.93077,0.30408065,0.086374313
533,54,44.475,0.212259993,19494.08155,0.30929065,0.097931348
533,55,44.771,0.213399991,19816.29073,0.31429513,0.095421493
533,56,45.17,0.214959994,20149.4617,0.31966514,0.098491691
533,57,45.473,0.21611999,20484.23916,0.32503511,0.108612858
533,58,45.674,0.217259988,20925.11328,0.33152486,0.106710032
533,59,45.975,0.218400002,21259.22674,0.33687203,0.110737488
533,60,46.271,0.219579995,21597.85126,0.34251633,0.111624703
533,61,46.57,0.22073999,21939.04962,0.3475207,0.11876905
533,62,46.87,0.221900001,22284.43078,0.35355344,0.120263293
533,63,47.071,0.223059997,22619.80754,0.35844351,0.120263293
533,64,47.372,0.224160001,22960.66024,0.36399636,0.129310474
533,65,47.67,0.225279987,23301.82626,0.36941211,0.128061384
533,66,47.975,0.226479992,23644.28044,0.37469073,0.134913892
533,67,48.276,0.227979988,24114.41172,0.38218594,0.135182396
533,68,48.576,0.229139999,24470.38662,0.38801304,0.140353873
533,69,48.873,0.230299994,24813.46002,0.39347439,0.144217893
533,70,49.174,0.231439993,25164.58068,0.3988444,0.146120727
533,71,49.471,0.232620001,25506.6718,0.40458004,0.142536864
533,72,49.673,0.233779997,25869.0676,0.40997296,0.143727586
533,73,49.975,0.234939992,26214.3642,0.41625704,0.149377704
533,74,50.274,0.236059994,26559.97912,0.42128432,0.151082084
533,75,50.574,0.237219989,26917.51324,0.42713414,0.15767777
533,76,50.873,0.238759995,27382.07158,0.43536062,0.162020415
533,77,51.176,0.23991999,27735.72134,0.44146191,0.159300417
533,78,51.474,0.241080001,28085.81496,0.44710609,0.169468284
533,79,51.771,0.242219999,28433.00152,0.45311599,0.175293505
533,80,52.07,0.243359998,28902.67272,0.46182229,0.171044245
533,81,52.274,0.244499996,29260.80368,0.46906612,0.174604744
533,82,52.578,0.245639995,29613.1205,0.47589856,0.177126274
533,83,52.874,0.246759996,29954.14976,0.48359948,0.180126444
533,84,53.172,0.247959986,30301.61982,0.49244288,0.184317335
533,85,53.473,0.249459997,30742.8744,0.50661064,0.189593881
533,86,53.771,0.250579983,31063.8949,0.52141818,0.199831784
533,87,54.071,0.251719981,31401.67142,0.55375259,0.199224755
533,88,54.372,0.252839983,31718.81252,0.65612584,0.207326353
533,89,54.671,0.254379988,31984.38492,0.90586639,0.207232967
533,90,54.972,0.255539984,32345.02504,1.00940502,0.207559824
533,91,55.272,0.256720006,32670.85004,1.0934288,0.206859395
533,92,55.572,0.257880002,33000.21372,1.17500751,0.213186592
533,93,55.872,0.259020001,33314.42288,1.25528365,0.220459357
533,94,56.175,0.260539979,33683.73446,1.35317817,0.231024131
533,95,56.471,0.261700004,34056.58228,1.45127817,0.233125404
533,96,56.874,0.26323998,34412.34082,1.55095502,0.241028562
533,97,57.571,0.266440004,34774.2169,1.64880379,0.269419193
533,98,58.481,0.269879997,35085.49164,1.73317029,0.361093402
533,99,58.875,0.271779984,35438.0074,1.83319002,0.40913102
533,100,59.37,0.273680001,35803.72556,1.93437501,0.436412632
533,101,59.876,0.275639981,36153.00352,2.03521713,0.479103655
533,102,60.272,0.277539998,36508.3965,2.13583096,0.496018946
533,103,60.873,0.279879987,36865.71428,2.23660453,0.535114467
533,104,61.372,0.282179981,37270.06232,2.35586493,0.566937149
533,105,61.975,0.284480006,37626.07702,2.45734691,0.601935208
533,106,62.582,0.28678,37973.05966,2.56038292,0.659206748
533,107,62.974,0.288719982,38313.59404,2.66355588,0.678655267
533,108,63.57,0.290999979,38658.62704,2.7659063,0.713466465
533,109,64.074,0.29332,39001.40202,2.86898806,0.755573809
533,110,64.671,0.295659989,39342.56058,2.97270938,0.800062597
533,111,65.173,0.297919989,39731.70438,3.09475764,0.837733865
533,112,65.775,0.300219983,40078.00066,3.19978192,0.897375166
533,113,66.372,0.302899987,40415.91148,3.30599412,0.931754529
533,114,66.971,0.305240005,40743.83034,3.41177209,0.966413975
533,115,67.57,0.307559997,41065.30342,3.51741298,1.016015887
533,116,68.077,0.309859991,41408.02868,3.62453952,1.056395531
533,117,68.67,0.312179983,41731.73492,3.73079731,1.097218633
533,118,69.173,0.314520001,42052.8698,3.83646115,1.138275385
533,119,69.77,0.316819996,42366.57912,3.9440216,1.192021489
533,120,70.373,0.319499999,42739.87702,4.07098278,1.243806362
533,121,70.97,0.321819991,43056.1577,4.17897745,1.281757712
533,122,71.477,0.324119985,43374.03488,4.2880462,1.324355483
533,123,72.071,0.326460004,43735.06792,4.41525861,1.362400293
533,124,72.674,0.328779995,44093.1914,4.54324796,1.408780217
533,125,73.173,0.33107999,44404.28958,4.65437367,1.450829148
533,126,73.774,0.333399981,44743.08072,4.78487655,1.508649349
533,127,74.271,0.335700005,45093.45536,4.91284325,1.538639307
533,128,74.871,0.338039994,45440.60212,5.04307195,1.604187608
533,129,75.473,0.340759993,45784.52104,5.1747404,1.624091506
533,130,76.07,0.343059987,46112.65376,5.30645474,1.674347043
533,131,76.671,0.345359981,46440.7865,5.43784901,1.701406837
533,132,77.275,0.348059982,46771.15734,5.57116254,1.757721186
533,133,77.976,0.350759983,47105.71098,5.70607587,1.813440084
533,134,78.475,0.353100002,47425.4483,5.84016665,1.85460186
533,135,79.174,0.355800003,47740.02798,5.97540005,1.915480614
533,136,79.772,0.358500004,48058.4622,6.11120447,1.95982945
533,137,80.475,0.361220002,48411.34354,6.26780315,2.023264647
533,138,81.075,0.363899976,48762.5985,6.42568215,2.054597139
533,139,81.771,0.366599977,49104.84628,6.58353849,2.125328541
533,140,82.374,0.369299978,49430.01474,6.74041136,2.163081646
533,141,83.074,0.372019976,49778.0319,6.90178677,2.210605621
533,142,83.673,0.374740005,50097.0729,7.06332191,2.289496899
533,143,84.372,0.377439976,50410.9563,7.22419365,2.324985266
533,144,84.973,0.380139977,50728.05262,7.38735124,2.391712666
533,145,85.673,0.382839978,49710.74418,7.5108163,2.431309938
